term,gene
PWY-6892,FEK30_RS09965
PWY-6892,FEK30_RS05895
PWY-6892,FEK30_RS13495
PWY-6892,FEK30_RS08710
PWY-6938-1,FEK30_RS07320
PWY0-1337,FEK30_RS10605
PWY0-1337,FEK30_RS15310
PWY0-1337,FEK30_RS07480
PWY0-1337,FEK30_RS15415
PENTOSE-P-PWY,FEK30_RS11515
PENTOSE-P-PWY,FEK30_RS02435
PENTOSE-P-PWY,FEK30_RS09250
PENTOSE-P-PWY,FEK30_RS05675
PENTOSE-P-PWY,FEK30_RS10520
PENTOSE-P-PWY,FEK30_RS08750
PENTOSE-P-PWY,FEK30_RS05170
PENTOSE-P-PWY,FEK30_RS11510
PWY-5382,FEK30_RS05045
PWY-5382,FEK30_RS05055
CYANCAT-PWY,FEK30_RS14290
CYANCAT-PWY,FEK30_RS13475
CYANCAT-PWY,FEK30_RS04915
CYANCAT-PWY,FEK30_RS03395
CYANCAT-PWY,FEK30_RS03390
CYANCAT-PWY,FEK30_RS08400
CYANCAT-PWY,FEK30_RS07295
PWY-5839,FEK30_RS08860
PWYQT-4429,FEK30_RS11260
PWYQT-4429,FEK30_RS14290
PWYQT-4429,FEK30_RS13475
PWYQT-4429,FEK30_RS04915
PWYQT-4429,FEK30_RS03395
PWYQT-4429,FEK30_RS03390
PWY-1801,FEK30_RS08430
PWY-1801,FEK30_RS08425
BRANCHED-CHAIN-AA-SYN-PWY,FEK30_RS01325
BRANCHED-CHAIN-AA-SYN-PWY,FEK30_RS10975
BRANCHED-CHAIN-AA-SYN-PWY,FEK30_RS06360
BRANCHED-CHAIN-AA-SYN-PWY,FEK30_RS10960
BRANCHED-CHAIN-AA-SYN-PWY,FEK30_RS07360
BRANCHED-CHAIN-AA-SYN-PWY,FEK30_RS13755
BRANCHED-CHAIN-AA-SYN-PWY,FEK30_RS10565
BRANCHED-CHAIN-AA-SYN-PWY,FEK30_RS03655
BRANCHED-CHAIN-AA-SYN-PWY,FEK30_RS03175
BRANCHED-CHAIN-AA-SYN-PWY,FEK30_RS03500
BRANCHED-CHAIN-AA-SYN-PWY,FEK30_RS12365
PWY-621,FEK30_RS09555
PWY-621,FEK30_RS15885
GLUTAMINEFUM-PWY,FEK30_RS01525
PWY-5194,FEK30_RS04605
PWY-5194,FEK30_RS10075
PWY-5194,FEK30_RS03495
PWY-5068,FEK30_RS06825
PWY-5068,FEK30_RS02860
PWY-6475,FEK30_RS06825
PWY-6475,FEK30_RS14000
PWY-6475,FEK30_RS13790
PWY-6475,FEK30_RS06740
PWY-6475,FEK30_RS13995
PWY-2161,FEK30_RS01715
PWY-2161,FEK30_RS06085
PWY-6897,FEK30_RS05455
PWY-6897,FEK30_RS02095
PWY-6897,FEK30_RS10445
PWY-6897,FEK30_RS04145
PWY0-1587,FEK30_RS09335
PWY0-1587,FEK30_RS06030
PWY0-1587,FEK30_RS15720
PWY0-1587,FEK30_RS12875
PWY0-1587,FEK30_RS10385
PWY-5155,FEK30_RS02265
PWY-7801,FEK30_RS11480
PWY-7801,FEK30_RS03255
PWY-7801,FEK30_RS14690
PWY-7801,FEK30_RS12650
PWY-7801,FEK30_RS08830
PWY-7801,FEK30_RS05180
PWY-6703,FEK30_RS01780
PWY-6703,FEK30_RS16550
PWY-6703,FEK30_RS06365
PWY-6703,FEK30_RS05460
PWY-6703,FEK30_RS05465
PWY-7206,FEK30_RS08060
PWY-7206,FEK30_RS04815
PWY-5143,FEK30_RS07480
PWY-7884,FEK30_RS12105
PWY-7884,FEK30_RS13590
PWY-7884,FEK30_RS05615
PWY-7884,FEK30_RS02330
PWY-7884,FEK30_RS09795
COMPLETE-ARO-PWY,FEK30_RS09830
COMPLETE-ARO-PWY,FEK30_RS13565
COMPLETE-ARO-PWY,FEK30_RS14975
COMPLETE-ARO-PWY,FEK30_RS04890
COMPLETE-ARO-PWY,FEK30_RS02205
COMPLETE-ARO-PWY,FEK30_RS12990
COMPLETE-ARO-PWY,FEK30_RS02250
COMPLETE-ARO-PWY,FEK30_RS10935
COMPLETE-ARO-PWY,FEK30_RS03920
COMPLETE-ARO-PWY,FEK30_RS15240
COMPLETE-ARO-PWY,FEK30_RS13145
COMPLETE-ARO-PWY,FEK30_RS08870
COMPLETE-ARO-PWY,FEK30_RS06895
COMPLETE-ARO-PWY,FEK30_RS05540
COMPLETE-ARO-PWY,FEK30_RS01580
COMPLETE-ARO-PWY,FEK30_RS07490
