"","U49","U50","U51","U52","U53","U54","U55","U56","U57","U58","U59","U60"
"FEK30_RS09505",2877.23533495708,2715.71283065598,2253.83348040655,549.879169222898,574.668379142812,561.47359733516,2640.56345178495,2784.09732496768,2814.501613719,496.343690205287,467.26205605926,519.103461201898
"FEK30_RS09510",2337.54289229222,2152.55974893048,1814.58523155539,285.40822610968,279.804052189535,371.026489627452,1482.43743564116,1444.44983963135,1518.5749071993,287.023028521268,350.862255617452,270.978536350676
"FEK30_RS09515",694.179404377688,711.802626140357,611.165371689191,1738.8964509694,1773.94183796084,1881.77530776476,721.796167627841,697.163487266866,656.526745593681,2811.55706943762,2730.40674750643,2716.31496679232
"FEK30_RS09520",266.473143565779,205.107784841649,186.530078279261,87.0550187747674,86.398418381471,94.7301675644559,160.800648107329,172.240390971814,164.743357279408,126.861007081224,129.702634778015,109.370855033104
"FEK30_RS09525",1199.46645382267,1011.96036005497,943.825004380776,224.800301646235,200.539448169836,146.042341661869,988.291623760773,912.236144776644,860.417039256314,149.061683320438,133.028343362067,145.283673103676
"FEK30_RS09530",1047.00333876985,996.952473359235,954.140031751057,229.208150698122,223.526183335549,240.772509226325,761.544642440888,751.842976464267,781.307605315212,212.49218686105,214.508203671333,202.417701852312
"FEK30_RS09535",178.098506079407,158.654802212007,179.65339336574,48.4863395707565,79.2646040196982,85.8492143552881,131.892666425112,153.102569752724,178.607897248467,77.7023668372495,73.1655888491369,75.0904377839224
"FEK30_RS09540",199.011588232671,137.929625346475,109.167373002148,72.7295093561348,67.3749134167434,74.0079434097311,99.3711870326188,121.206201054239,101.129585656666,65.0162661291271,74.8284431411627,68.5608344983639
"FEK30_RS09545",101.192332999663,105.769868141338,81.6606333480635,1110.77796107551,925.017928909877,999.600622320769,156.283775969482,202.314110030385,181.054580772419,1313.01142329066,1232.17503039115,1108.40015772355
"FEK30_RS09550",45.8738576265139,56.4582404267954,60.1709929933099,376.871093936335,381.262745334748,323.661405845224,123.762296576989,124.851500334066,113.363003276424,531.230467152624,510.496267651932,422.791812739911
"FEK30_RS09555",3790.66479416738,4936.16540035286,6116.81123057705,7656.43380312764,7915.36335740706,7366.25730071524,6207.0856918284,5971.00022035622,6314.07461414444,5719.84565677467,5725.20732744496,5788.49331264758
"FEK30_RS09560",1049.70180098317,1327.84064193653,1477.62767079285,8947.93357533052,9216.09550937031,9045.74422982674,2176.22899601435,2061.41674274203,2045.42742602354,8594.8332297529,8538.75678955268,9025.54414146319
"FEK30_RS09565",187.543123826042,192.243881959594,189.968420736021,412.13388635143,445.467074590704,378.920670257823,268.302204988071,179.530989531467,196.550243090779,293.36607887533,355.850818493529,350.966176598768
"FEK30_RS09570",21.5876977065948,12.1492416108294,28.3663252682747,73.8314716191065,68.1675594569404,54.2724918338028,23.4877351168008,26.4284197787439,22.835712890215,34.8867769473365,48.2227744687493,34.2804172491819
"FEK30_RS09585",268.496990225772,322.312233322591,348.991759361198,7267.44112429862,6884.92350515098,7783.66210154612,912.408171844955,881.251100898117,757.656331250347,8870.75592015456,9002.69313702789,8986.36652174984
"FEK30_RS09595",689.45709550437,614.608693253722,509.734269214754,418.745659929261,425.650923585779,410.497392779309,376.707136296382,461.130358898084,469.763236598708,597.832495870266,477.239181811415,473.396238202989
"FEK30_RS09600",70.8346330997641,63.604853139048,96.2735887892959,134.439396082552,106.214569386396,133.214298137516,125.569045432127,164.94979241216,120.703053848279,174.433884736683,147.9940319903,143.651272282286
"FEK30_RS09605",4450.43880532518,4250.80524124784,4477.58146431645,4904.83403248721,5799.79107612131,5637.43174266392,4132.03463170181,4367.9798620524,4412.18595485939,6197.16019591777,5780.08151908181,5902.76137014485
"FEK30_RS09610",43505.2824187684,43409.2402754934,45435.1168092483,7695.00248233166,8151.57187738576,6806.75724853767,32198.0713474236,32549.788594393,35050.372602956,5481.98126849738,5869.87565085121,6083.9578613191
"FEK30_RS09615",110.636950746298,145.790899329953,122.061157215,346.016150573126,316.265770038596,339.449767105967,191.515378644684,201.402785210428,170.452285501962,366.311157947033,389.107904334046,395.040998776287
"FEK30_RS09620",2778.74146417075,2682.83841217962,2609.70192468127,1494.26082858968,1382.37469410354,1499.89431977055,2848.33957012588,2582.69453975725,2644.86488939168,1387.54226495088,1471.62604844287,1372.84909078867
"FEK30_RS09625",2732.86760654423,2845.78118201898,3305.1066865611,2067.28120533498,2209.89716006918,2170.89967335211,4070.6051706271,4209.40934337994,4178.11989773469,1958.41679681639,2110.16209658079,2158.03388587707
"FEK30_RS09630",318.418541172273,280.147218320301,317.187091636162,1297.00958351774,1268.23366431517,1364.70647647544,453.49396263977,472.066256737564,406.965026150617,1470.00191955368,1484.92888277907,1428.35071871591
"FEK30_RS09635",635.487851237884,842.585638774579,979.927600176762,2920.19999687511,2874.13454175426,2714.61136426894,1417.39447685617,1364.25325547516,1444.3588403061,3322.17262293954,3583.45099931568,3366.01049370539
"FEK30_RS09645",734.656337577553,746.821028430395,746.120313117043,390.094641091996,351.93484184746,305.899499426889,791.355998550674,752.754301284224,758.471892424997,369.482683124064,402.410738670253,388.511395490729
"FEK30_RS09650",699.576328804337,761.1142538549,798.555035582642,3832.62475061571,4185.17109224006,4390.15120306525,1302.66592455488,1256.71692672027,1193.98155968838,4470.26473702462,4368.31822515188,4569.08989906954
"FEK30_RS09655",54.643859819818,57.1729016980206,73.064777206162,239.125811064867,263.158485345398,272.349231747811,61.4294610747098,96.6004309154089,70.9538221945965,301.294891817906,289.336646812496,329.744965920702
"FEK30_RS09660",193.614663806022,174.377350178963,205.440961791444,697.542112461111,810.084253081315,675.939216475544,248.427967581547,268.840821887223,304.20431814465,781.780956138041,731.655888491369,737.845171268107
"FEK30_RS09665",1473.36036847509,1663.01677814118,1965.87229965285,1571.3981869977,1731.13895179021,1882.76208034356,950.349897802864,1005.19127641223,1047.99610942594,2730.68317742334,2569.10988117992,2688.5641528287
"FEK30_RS09670",915.453305870285,1073.42122938034,1263.59085285951,2351.58746918169,2399.33956367626,2653.43146438356,1127.41128560644,1192.01286450335,1209.47722200674,3797.90139949413,3457.07407312172,3563.53099309353
"FEK30_RS09675",535.644749344883,628.901918678227,685.949320123733,1323.45667782906,1230.18665438572,1366.68002163304,832.007847791291,842.064133639979,781.307605315212,1787.15443725674,1694.44852357433,1591.59080085488
"FEK30_RS09680",682.71093997106,763.972898939801,800.274206811022,761.455923713472,776.000473352845,730.211708309347,1105.73029934478,1083.5652109285,1096.92977990497,724.69350295149,671.793133978438,781.919993445626
"FEK30_RS09685",856.76175273048,891.182605217897,1043.53693562683,2754.90565742935,2978.76381906026,3212.93151656113,809.423487102059,911.324819956688,805.774440554728,4245.08644945545,3914.35900342882,3734.93307933944
"FEK30_RS09690",2672.15220674443,2647.82000988958,2587.35269871233,9859.25636680815,9175.67056132026,10350.2575789956,2269.27656205399,2355.77465958804,2262.36669848058,13055.5833912464,12631.0412022283,12652.7387665909
"FEK30_RS09695",1655.50656787449,1431.46652626419,1323.76184585282,2196.21079010268,2275.68678140553,2505.4155775641,810.326861529628,926.817341895951,1027.60708005967,2908.28858733705,2670.5439929935,2691.82895447148
"FEK30_RS09700",5264.02516264247,5108.39876671814,4698.49496716331,13719.4301739982,14151.9024016769,14708.8320595394,7880.13513168667,8180.05158393123,7637.73040060226,15475.4571013208,15359.7850954427,16699.4604028158
"FEK30_RS09705",1005.85179001665,974.797973951252,946.403761223346,1442.46860223001,1758.0889171569,1959.73034148968,1200.58461423955,1100.88038250768,1017.00478478922,2253.36863828023,2251.50471140298,2296.78795569519
"FEK30_RS09720",289.410072379036,280.147218320301,290.539937596268,676.604829464648,759.354906508708,886.121775759181,196.03225078253,184.998938451208,195.734681916128,924.499589104417,984.409740879296,1013.72091008295
"FEK30_RS09725",704.298637677654,683.930836562572,694.545176265634,1150.4486025425,1196.89552069744,1114.06624146115,857.30233176323,790.118618902448,775.598677092659,1010.13076888424,969.444052251063,959.851682977094
"FEK30_RS09730",381.832403185395,329.458846034844,353.289687432148,459.518263659215,462.905287475037,450.955068509962,355.929524462289,285.244668646443,259.34845353887,359.968107592972,400.747884378227,406.467804526015
"FEK30_RS09735",451.992420731828,460.956519940291,493.402142545141,155.376679079015,156.943915959002,125.320117507145,350.509277896874,345.392106763585,366.18696741809,125.275244492708,93.1198403534469,97.944049283377
"FEK30_RS09740",539.017827111538,440.946004345984,437.529077622782,161.988452656846,163.285084280578,146.042341661869,505.889679438787,513.987198455572,415.120637897122,160.162021440045,108.085528981679,106.106053390325
"FEK30_RS09745",324.490081152253,270.141960523148,241.54355758743,83.7491319858522,61.8263911353646,69.0740805157491,270.108953843209,304.382489865534,289.52421700094,77.7023668372495,84.8055688933177,48.9720246416885
"FEK30_RS09750",920.175614743602,964.792716154098,898.266966828698,138.847245134439,164.870376360972,132.22752555872,657.656583270423,724.503231865567,749.500719503842,109.417618607555,113.074091857757,88.1496443550393
"FEK30_RS09755",321.791618938928,279.432557049076,267.331126013134,297.52981100237,286.14522051111,243.732826962715,281.85282140161,256.082274407829,236.512740648655,304.466416994937,319.268024068961,326.480164277923
