transcript_id,gene_id
unassigned_transcript_223,FEK30_RS02265
unassigned_transcript_224,FEK30_RS02270
unassigned_transcript_225,FEK30_RS02275
unassigned_transcript_226,FEK30_RS02280
unassigned_transcript_227,FEK30_RS02285
unassigned_transcript_228,FEK30_RS02290
unassigned_transcript_229,FEK30_RS02295
unassigned_transcript_230,FEK30_RS02300
unassigned_transcript_231,FEK30_RS02305
unassigned_transcript_232,FEK30_RS02310
unassigned_transcript_233,FEK30_RS02315
unassigned_transcript_234,FEK30_RS02320
unassigned_transcript_235,FEK30_RS02325
unassigned_transcript_236,FEK30_RS02330
unassigned_transcript_237,FEK30_RS02335
unassigned_transcript_238,FEK30_RS02340
unassigned_transcript_239,FEK30_RS02345
unassigned_transcript_240,FEK30_RS02350
unassigned_transcript_241,FEK30_RS02355
unassigned_transcript_242,FEK30_RS02360
unassigned_transcript_243,FEK30_RS02365
unassigned_transcript_244,FEK30_RS02370
unassigned_transcript_245,FEK30_RS02375
unassigned_transcript_246,FEK30_RS02380
unassigned_transcript_247,FEK30_RS02385
unassigned_transcript_248,FEK30_RS02390
unassigned_transcript_249,FEK30_RS02395
unassigned_transcript_250,FEK30_RS02400
unassigned_transcript_251,FEK30_RS02405
unassigned_transcript_252,FEK30_RS02410
unassigned_transcript_253,FEK30_RS02415
unassigned_transcript_254,FEK30_RS02420
unassigned_transcript_255,FEK30_RS02425
unassigned_transcript_256,FEK30_RS02430
unassigned_transcript_257,FEK30_RS02435
unassigned_transcript_258,FEK30_RS02440
unassigned_transcript_259,FEK30_RS02445
unassigned_transcript_260,FEK30_RS02450
unassigned_transcript_261,FEK30_RS02455
unassigned_transcript_262,FEK30_RS02460
unassigned_transcript_263,FEK30_RS02465
unassigned_transcript_264,FEK30_RS02470
unassigned_transcript_265,FEK30_RS02475
unassigned_transcript_266,FEK30_RS02480
unassigned_transcript_267,FEK30_RS02485
unassigned_transcript_268,FEK30_RS02490
unassigned_transcript_269,FEK30_RS02495
unassigned_transcript_270,FEK30_RS02500
unassigned_transcript_271,FEK30_RS02505
unassigned_transcript_272,FEK30_RS02510
unassigned_transcript_273,FEK30_RS02515
unassigned_transcript_274,FEK30_RS02520
unassigned_transcript_275,FEK30_RS02525
unassigned_transcript_276,FEK30_RS02530
unassigned_transcript_277,FEK30_RS02535
unassigned_transcript_278,FEK30_RS02540
unassigned_transcript_279,FEK30_RS02545
unassigned_transcript_280,FEK30_RS02550
unassigned_transcript_281,FEK30_RS02555
unassigned_transcript_282,FEK30_RS02560
unassigned_transcript_283,FEK30_RS02565
unassigned_transcript_284,FEK30_RS02570
unassigned_transcript_285,FEK30_RS02575
unassigned_transcript_286,FEK30_RS02580
unassigned_transcript_287,FEK30_RS02585
unassigned_transcript_288,FEK30_RS02590
unassigned_transcript_289,FEK30_RS02595
unassigned_transcript_290,FEK30_RS02600
unassigned_transcript_291,FEK30_RS02605
unassigned_transcript_292,FEK30_RS02610
unassigned_transcript_293,FEK30_RS02615
unassigned_transcript_294,FEK30_RS02620
unassigned_transcript_295,FEK30_RS02625
unassigned_transcript_296,FEK30_RS02630
unassigned_transcript_297,FEK30_RS02635
unassigned_transcript_298,FEK30_RS02640
unassigned_transcript_299,FEK30_RS02645
unassigned_transcript_300,FEK30_RS02650
unassigned_transcript_301,FEK30_RS02655
unassigned_transcript_302,FEK30_RS02660
unassigned_transcript_303,FEK30_RS02665
unassigned_transcript_304,FEK30_RS02670
unassigned_transcript_305,FEK30_RS02675
unassigned_transcript_306,FEK30_RS02680
unassigned_transcript_307,FEK30_RS02685
unassigned_transcript_308,FEK30_RS02690
unassigned_transcript_309,FEK30_RS02695
unassigned_transcript_310,FEK30_RS02700
unassigned_transcript_311,FEK30_RS02705
unassigned_transcript_312,FEK30_RS02710
unassigned_transcript_313,FEK30_RS02715
unassigned_transcript_314,FEK30_RS02720
unassigned_transcript_315,FEK30_RS02725
unassigned_transcript_316,FEK30_RS02730
unassigned_transcript_317,FEK30_RS02735
unassigned_transcript_318,FEK30_RS02740
unassigned_transcript_319,FEK30_RS02745
unassigned_transcript_320,FEK30_RS02750
unassigned_transcript_321,FEK30_RS02755
unassigned_transcript_322,FEK30_RS02760
unassigned_transcript_323,FEK30_RS02765
unassigned_transcript_324,FEK30_RS02770
unassigned_transcript_325,FEK30_RS02775
unassigned_transcript_326,FEK30_RS02780
unassigned_transcript_327,FEK30_RS02785
unassigned_transcript_328,FEK30_RS02790
unassigned_transcript_329,FEK30_RS02795
unassigned_transcript_330,FEK30_RS02800
unassigned_transcript_331,FEK30_RS02805
unassigned_transcript_332,FEK30_RS02810
unassigned_transcript_333,FEK30_RS02815
unassigned_transcript_334,FEK30_RS02820
unassigned_transcript_335,FEK30_RS02825
unassigned_transcript_336,FEK30_RS02830
unassigned_transcript_337,FEK30_RS02835
unassigned_transcript_338,FEK30_RS02840
unassigned_transcript_339,FEK30_RS02845
unassigned_transcript_340,FEK30_RS02850
unassigned_transcript_341,FEK30_RS02855
unassigned_transcript_342,FEK30_RS02860
unassigned_transcript_343,FEK30_RS02865
unassigned_transcript_344,FEK30_RS02870
unassigned_transcript_345,FEK30_RS02875
unassigned_transcript_346,FEK30_RS02880
unassigned_transcript_347,FEK30_RS02885
unassigned_transcript_348,FEK30_RS02890
unassigned_transcript_349,FEK30_RS02895
unassigned_transcript_350,FEK30_RS02900
unassigned_transcript_351,FEK30_RS02905
unassigned_transcript_352,FEK30_RS02910
unassigned_transcript_353,FEK30_RS02915
unassigned_transcript_354,FEK30_RS02920
unassigned_transcript_355,FEK30_RS02925
unassigned_transcript_356,FEK30_RS02930
unassigned_transcript_357,FEK30_RS02935
unassigned_transcript_358,FEK30_RS02940
unassigned_transcript_359,FEK30_RS02945
unassigned_transcript_360,FEK30_RS02950
unassigned_transcript_361,FEK30_RS02955
unassigned_transcript_362,FEK30_RS02960
unassigned_transcript_363,FEK30_RS16700
unassigned_transcript_364,FEK30_RS02965
unassigned_transcript_365,FEK30_RS02970
unassigned_transcript_366,FEK30_RS02975
unassigned_transcript_367,FEK30_RS02980
unassigned_transcript_368,FEK30_RS02985
unassigned_transcript_369,FEK30_RS02990
unassigned_transcript_370,FEK30_RS02995
unassigned_transcript_371,FEK30_RS03000
unassigned_transcript_372,FEK30_RS03005
unassigned_transcript_373,FEK30_RS03010
unassigned_transcript_374,FEK30_RS03015
unassigned_transcript_375,FEK30_RS03020
unassigned_transcript_376,FEK30_RS03025
unassigned_transcript_377,FEK30_RS03030
unassigned_transcript_378,FEK30_RS03035
unassigned_transcript_379,FEK30_RS03040
unassigned_transcript_380,FEK30_RS03045
unassigned_transcript_381,FEK30_RS03050
unassigned_transcript_382,FEK30_RS03055
unassigned_transcript_383,FEK30_RS03060
unassigned_transcript_384,FEK30_RS03065
unassigned_transcript_385,FEK30_RS03070
unassigned_transcript_386,FEK30_RS03075
unassigned_transcript_387,FEK30_RS03080
unassigned_transcript_388,FEK30_RS03085
unassigned_transcript_389,FEK30_RS03090
unassigned_transcript_390,FEK30_RS03095
unassigned_transcript_391,FEK30_RS03100
unassigned_transcript_392,FEK30_RS03105
unassigned_transcript_393,FEK30_RS03110
unassigned_transcript_394,FEK30_RS03115
unassigned_transcript_395,FEK30_RS03120
unassigned_transcript_396,FEK30_RS03125
unassigned_transcript_397,FEK30_RS03130
unassigned_transcript_398,FEK30_RS03135
unassigned_transcript_399,FEK30_RS03140
unassigned_transcript_400,FEK30_RS03145
unassigned_transcript_401,FEK30_RS16705
unassigned_transcript_402,FEK30_RS03150
unassigned_transcript_403,FEK30_RS03155
unassigned_transcript_404,FEK30_RS03160
unassigned_transcript_405,FEK30_RS03165
unassigned_transcript_406,FEK30_RS03170
unassigned_transcript_407,FEK30_RS03175
unassigned_transcript_408,FEK30_RS03180
unassigned_transcript_409,FEK30_RS03185
unassigned_transcript_410,FEK30_RS03190
unassigned_transcript_411,FEK30_RS03195
unassigned_transcript_412,FEK30_RS03200
unassigned_transcript_413,FEK30_RS03205
unassigned_transcript_414,FEK30_RS03210
unassigned_transcript_415,FEK30_RS03215
unassigned_transcript_416,FEK30_RS03220
unassigned_transcript_417,FEK30_RS03225
unassigned_transcript_418,FEK30_RS03230
unassigned_transcript_419,FEK30_RS03235
unassigned_transcript_420,FEK30_RS03240
unassigned_transcript_421,FEK30_RS03245
unassigned_transcript_422,FEK30_RS03250
unassigned_transcript_423,FEK30_RS03255
unassigned_transcript_424,FEK30_RS03260
unassigned_transcript_425,FEK30_RS03265
unassigned_transcript_426,FEK30_RS03270
unassigned_transcript_427,FEK30_RS03275
unassigned_transcript_428,FEK30_RS03280
unassigned_transcript_429,FEK30_RS03285
unassigned_transcript_430,FEK30_RS03290
unassigned_transcript_431,FEK30_RS03295
unassigned_transcript_432,FEK30_RS03300
unassigned_transcript_433,FEK30_RS03305
unassigned_transcript_434,FEK30_RS03310
unassigned_transcript_435,FEK30_RS03315
unassigned_transcript_436,FEK30_RS03320
unassigned_transcript_437,FEK30_RS03325
unassigned_transcript_438,FEK30_RS03330
unassigned_transcript_439,FEK30_RS03335
unassigned_transcript_440,FEK30_RS03340
unassigned_transcript_441,FEK30_RS03345
unassigned_transcript_442,FEK30_RS03350
unassigned_transcript_443,FEK30_RS03355
unassigned_transcript_444,FEK30_RS03360
unassigned_transcript_445,FEK30_RS03365
unassigned_transcript_446,FEK30_RS03370
unassigned_transcript_447,FEK30_RS03375
unassigned_transcript_448,FEK30_RS03380
unassigned_transcript_449,FEK30_RS03385
unassigned_transcript_450,FEK30_RS03390
unassigned_transcript_451,FEK30_RS03395
unassigned_transcript_452,FEK30_RS03400
unassigned_transcript_453,FEK30_RS03405
unassigned_transcript_454,FEK30_RS03410
unassigned_transcript_455,FEK30_RS03415
unassigned_transcript_456,FEK30_RS03420
unassigned_transcript_457,FEK30_RS03425
unassigned_transcript_458,FEK30_RS03430
unassigned_transcript_459,FEK30_RS03435
unassigned_transcript_460,FEK30_RS03440
unassigned_transcript_461,FEK30_RS03445
unassigned_transcript_462,FEK30_RS03450
unassigned_transcript_463,FEK30_RS03455
unassigned_transcript_464,FEK30_RS03460
unassigned_transcript_465,FEK30_RS03465
unassigned_transcript_466,FEK30_RS03470
unassigned_transcript_467,FEK30_RS03475
unassigned_transcript_468,FEK30_RS03480
unassigned_transcript_469,FEK30_RS03485
unassigned_transcript_470,FEK30_RS03490
unassigned_transcript_471,FEK30_RS16710
unassigned_transcript_472,FEK30_RS03495
unassigned_transcript_473,FEK30_RS03500
unassigned_transcript_474,FEK30_RS03505
unassigned_transcript_475,FEK30_RS03515
unassigned_transcript_476,FEK30_RS03520
unassigned_transcript_477,FEK30_RS03525
unassigned_transcript_478,FEK30_RS03530
unassigned_transcript_479,FEK30_RS03535
unassigned_transcript_480,FEK30_RS03540
unassigned_transcript_481,FEK30_RS03545
unassigned_transcript_482,FEK30_RS03550
unassigned_transcript_483,FEK30_RS03555
unassigned_transcript_484,FEK30_RS03560
unassigned_transcript_485,FEK30_RS03565
unassigned_transcript_486,FEK30_RS03570
unassigned_transcript_487,FEK30_RS03575
unassigned_transcript_488,FEK30_RS03580
unassigned_transcript_489,FEK30_RS03585
unassigned_transcript_490,FEK30_RS03590
unassigned_transcript_491,FEK30_RS03595
unassigned_transcript_492,FEK30_RS03600
unassigned_transcript_493,FEK30_RS03605
unassigned_transcript_494,FEK30_RS03610
unassigned_transcript_495,FEK30_RS03615
unassigned_transcript_496,FEK30_RS03620
unassigned_transcript_497,FEK30_RS03625
unassigned_transcript_498,FEK30_RS03630
unassigned_transcript_499,FEK30_RS03635
unassigned_transcript_500,FEK30_RS03640
unassigned_transcript_501,FEK30_RS03645
unassigned_transcript_502,FEK30_RS03650
unassigned_transcript_503,FEK30_RS03655
unassigned_transcript_504,FEK30_RS03660
unassigned_transcript_505,FEK30_RS03665
unassigned_transcript_506,FEK30_RS03670
unassigned_transcript_507,FEK30_RS03675
unassigned_transcript_508,FEK30_RS03680
unassigned_transcript_509,FEK30_RS03685
unassigned_transcript_510,FEK30_RS03690
unassigned_transcript_511,FEK30_RS03695
unassigned_transcript_512,FEK30_RS03700
unassigned_transcript_513,FEK30_RS03705
unassigned_transcript_514,FEK30_RS03710
unassigned_transcript_515,FEK30_RS03715
unassigned_transcript_516,FEK30_RS03720
unassigned_transcript_517,FEK30_RS03725
unassigned_transcript_518,FEK30_RS03730
unassigned_transcript_519,FEK30_RS03735
unassigned_transcript_520,FEK30_RS03740
unassigned_transcript_521,FEK30_RS03745
unassigned_transcript_522,FEK30_RS03750
unassigned_transcript_523,FEK30_RS03755
unassigned_transcript_524,FEK30_RS03760
unassigned_transcript_525,FEK30_RS03765
unassigned_transcript_526,FEK30_RS03770
unassigned_transcript_527,FEK30_RS03775
unassigned_transcript_528,FEK30_RS03780
unassigned_transcript_529,FEK30_RS03785
unassigned_transcript_530,FEK30_RS03790
unassigned_transcript_531,FEK30_RS03795
unassigned_transcript_532,FEK30_RS03800
unassigned_transcript_533,FEK30_RS03805
unassigned_transcript_534,FEK30_RS03810
unassigned_transcript_535,FEK30_RS03815
unassigned_transcript_536,FEK30_RS03820
unassigned_transcript_537,FEK30_RS03825
unassigned_transcript_538,FEK30_RS03830
unassigned_transcript_539,FEK30_RS03835
unassigned_transcript_540,FEK30_RS03840
unassigned_transcript_541,FEK30_RS03845
unassigned_transcript_542,FEK30_RS03850
unassigned_transcript_543,FEK30_RS03855
unassigned_transcript_544,FEK30_RS03860
unassigned_transcript_545,FEK30_RS03865
unassigned_transcript_546,FEK30_RS03870
unassigned_transcript_547,FEK30_RS03875
unassigned_transcript_548,FEK30_RS03880
unassigned_transcript_549,FEK30_RS03885
unassigned_transcript_550,FEK30_RS03890
unassigned_transcript_551,FEK30_RS03895
unassigned_transcript_552,FEK30_RS03900
unassigned_transcript_553,FEK30_RS03905
unassigned_transcript_554,FEK30_RS03910
unassigned_transcript_555,FEK30_RS03915
unassigned_transcript_556,FEK30_RS03920
unassigned_transcript_557,FEK30_RS03925
unassigned_transcript_558,FEK30_RS03930
unassigned_transcript_559,FEK30_RS03935
unassigned_transcript_560,FEK30_RS03940
unassigned_transcript_561,FEK30_RS03945
unassigned_transcript_562,FEK30_RS03950
unassigned_transcript_563,FEK30_RS03955
unassigned_transcript_564,FEK30_RS03960
unassigned_transcript_565,FEK30_RS03965
unassigned_transcript_566,FEK30_RS03970
unassigned_transcript_567,FEK30_RS03975
unassigned_transcript_568,FEK30_RS03980
unassigned_transcript_569,FEK30_RS03985
unassigned_transcript_570,FEK30_RS03990
unassigned_transcript_571,FEK30_RS03995
unassigned_transcript_572,FEK30_RS04000
unassigned_transcript_573,FEK30_RS04005
unassigned_transcript_574,FEK30_RS04010
unassigned_transcript_575,FEK30_RS04015
unassigned_transcript_576,FEK30_RS04020
unassigned_transcript_577,FEK30_RS04025
unassigned_transcript_578,FEK30_RS04035
unassigned_transcript_579,FEK30_RS04040
unassigned_transcript_580,FEK30_RS04045
unassigned_transcript_581,FEK30_RS04050
unassigned_transcript_582,FEK30_RS04055
unassigned_transcript_583,FEK30_RS04060
unassigned_transcript_584,FEK30_RS04065
unassigned_transcript_585,FEK30_RS04070
