"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FEK30_RS09850",1921.49495085812,0.0512542565248793,0.0846237843950116,0.605671997433154,0.544732582454126,0.564915338380548
"FEK30_RS09855",502.280487716094,1.27323876140362,0.118889991638576,10.709385574475,9.19701727523621e-27,2.13453162134214e-26
"FEK30_RS09860",434.955225634984,0.646338333797889,0.119055387608121,5.4288877369024,5.67063376042607e-08,8.51507719712048e-08
"FEK30_RS09865",650.835346459931,0.844330876416637,0.119756337868906,7.05040661264128,1.78395710218083e-12,3.0652522584433e-12
"FEK30_RS09870",570.749998164308,-0.985539135956971,0.120454604609885,-8.18183031814202,2.79564538365469e-16,5.2587442398182e-16
"FEK30_RS09875",234.476520264008,2.1287561164593,0.201460132582745,10.5666371265042,4.25478968675792e-26,9.74562711394062e-26
"FEK30_RS09885",271.784618384182,1.92509929270507,0.139497069763419,13.800284808634,2.53847736954034e-43,7.47129143779539e-43
"FEK30_RS09890",166.9093618196,1.21353178702769,0.15015305497903,8.08196534660692,6.37312172837369e-16,1.18606168335891e-15
"FEK30_RS09895",611.016995559551,0.550469049475678,0.173833508418793,3.16664522555404,0.00154208325254732,0.00192005828464411
"FEK30_RS09900",3099.4579491906,0.933769853254241,0.151728604106721,6.15421105830157,7.54521477729031e-10,1.21304170945638e-09
"FEK30_RS09905",8182.50870197078,1.39903652376803,0.159915947710785,8.74857413407108,2.16065405157176e-18,4.25892302137278e-18
"FEK30_RS09910",7288.46013281361,1.92100131540233,0.118125728488243,16.2623447066701,1.82613738952823e-59,6.75212490527018e-59
"FEK30_RS09915",16751.6902310784,2.52840850886428,0.11827325775716,21.3776855124397,2.15558068253188e-101,1.22881269458386e-100
"FEK30_RS09920",4448.9343309815,2.16070170018806,0.0845415917630314,25.5578544847425,4.49079309145925e-144,3.75215816805804e-143
"FEK30_RS09925",74.0252846226378,0.701896380021039,0.200184625450749,3.50624518961235,0.000454476355214081,0.000579271092096636
"FEK30_RS09935",62.1543394968362,-1.43756953015428,0.278446899258032,-5.16281392963944,2.432649229328e-07,3.55746352815521e-07
"FEK30_RS09940",738.586060675573,0.634000040112761,0.124701642322771,5.08413544764511,3.69304336770343e-07,5.37257192630037e-07
"FEK30_RS09945",1852.42308797644,1.39535501249284,0.0817239857265652,17.0739960867972,2.31778165973704e-65,9.17605497256572e-65
"FEK30_RS09950",2141.64430976208,0.842698509070883,0.0585873318426265,14.3836300880621,6.55634674315561e-47,2.05270856086047e-46
"FEK30_RS09955",1527.40323973454,0.791584980086513,0.0815810453699061,9.70305021831108,2.92617314226267e-22,6.23314963865542e-22
"FEK30_RS09960",980.72840231313,-0.816742182017628,0.114865864886526,-7.11039944568802,1.15707578491392e-12,1.99793653422213e-12
"FEK30_RS09965",24648.6963518187,-0.590891972989752,0.110230167207929,-5.36052868245354,8.29787503312265e-08,1.23804649348136e-07
"FEK30_RS09970",11313.4739707978,-0.970138121707164,0.0787635250142443,-12.3170988288261,7.32835036404266e-35,1.93692659763507e-34
"FEK30_RS09975",3387.83753572366,1.51732097269626,0.0767017546632077,19.7820894627342,4.24721624862171e-87,2.16144695998039e-86
"FEK30_RS09980",1628.68986169611,1.43046779380097,0.0746113804362357,19.1722467194327,6.31228739633102e-82,2.96942729787068e-81
"FEK30_RS09985",9096.27189277644,1.36369413316333,0.0821149359592404,16.6071387285771,6.18749197220459e-62,2.35309647149466e-61
"FEK30_RS09990",3639.04359858536,-0.907016511577333,0.0996125337903907,-9.10544564086602,8.59129972377686e-20,1.73750346292279e-19
"FEK30_RS09995",1729.03992148887,-0.0365235631794818,0.108599051955052,-0.336315672392779,0.736632832705564,0.752494634577691
"FEK30_RS10000",8892.37310691206,0.573718046972472,0.123848827800173,4.63240595137608,3.61440543884088e-06,5.04071789901127e-06
"FEK30_RS10005",10842.6142771518,3.01774483414241,0.19103016952005,15.7972159147651,3.25163192571094e-56,1.13766472000812e-55
"FEK30_RS10010",19953.4299760972,1.63726116134739,0.0843715651457112,19.4053667076083,6.95207454362658e-84,3.3724188297419e-83
"FEK30_RS10015",22367.1314748381,2.06981627562032,0.11328337793874,18.2711383901317,1.40489199389065e-74,6.04968106292295e-74
"FEK30_RS10020",947.307903618444,-1.81631275806675,0.0943419420834746,-19.252441893338,1.34663512910403e-82,6.37771865712719e-82
