"","U1","U2","U3","U7","U8","U9","U10","U11","U12","U13","U14","U15","U16","U17","U18","U19","U20","U21","U34","U35","U36","U37","U38","U39"
"FEK30_RS10850",7909.92954621006,6579.40022632687,6344.74426976696,6671.48852274128,6927.06391415396,7301.15238218528,8658.84697344243,7868.01170972818,7889.28298507449,6284.57749132918,6175.90551552137,6335.17947345311,4239.01876172321,3775.96137971452,3471.95970682349,8412.12674684495,8174.07174582087,8541.27311763486,1607.33553385251,1580.24433847801,1705.17237152204,5461.12652410725,4642.09793747772,5107.59427328585
"FEK30_RS10860",8160.58185910295,7616.09035005875,6570.41095656709,7388.73513454194,7341.5036355136,7368.93362225822,10861.6474864809,10652.4420468319,10860.37289654,5653.34602202489,5742.2231099205,6081.26627533011,5025.2379494617,5150.90383863231,5640.29680674532,7426.8012242905,7523.89957743659,8270.89927133624,1219.25915852506,1317.27054658843,1524.52275749449,6697.57923517676,6417.74382965454,6490.77427137909
"FEK30_RS10865",1413.51468254351,1363.28965458238,1437.24605415366,2361.6211594658,2079.7567780084,2271.17737259331,2706.84189844271,2700.84752680538,2630.27044116877,2548.46047261068,2716.019833752,2592.44471677891,2555.60312515393,2571.50547138585,2522.08393797555,2789.65793475044,2931.63971285642,3136.51807602121,1940.95510614286,1602.45901952805,1195.88711278754,1420.92962603796,1386.13757597326,1457.07710672801
"FEK30_RS10870",272.567269211394,302.367952755134,259.767430583251,299.309018664908,229.264526709587,263.031677894994,182.826094453916,137.225509445077,106.983690227666,173.987901659107,150.304939689483,191.564405701335,175.062721723083,97.8719086715302,80.2481252992221,307.464715979585,261.409428525637,272.188435871092,122.671114209856,133.288086300197,140.653389519605,253.084032105473,240.471096623329,215.605681663811
"FEK30_RS10875",398.578268042793,438.275499463887,384.134849086429,527.440892647307,574.42101197567,497.736867401296,477.379246629671,495.259338633596,427.934760910666,606.015831382686,636.641941996855,574.693217104005,892.507268784644,884.004336388015,935.136317262364,554.695116255567,595.711870774768,594.278084985217,472.341112658511,429.884098157392,383.963755276268,419.26571583738,394.080010055721,468.594606519332
"FEK30_RS10880",105.465727282801,82.1766561494789,98.2903791396084,124.103739446425,103.295006539484,145.679083141843,67.2901597642887,132.235490919801,113.097043954962,134.483402248585,129.24310100688,129.215613279674,165.684361630775,176.800867277603,191.612870612428,163.621574000832,119.812654740917,130.650449218124,115.21913063636,102.067453473124,117.322258556637,100.623771800971,105.148958599554,103.455952088684
"FEK30_RS10890",35.6118040175691,42.1418749484507,54.1600048320291,61.139342227283,57.9459792782474,53.6179958785949,25.3925131185995,36.1776343082475,38.2084607955952,44.5476269948437,42.1236773652054,59.6379753598496,51.580980507694,63.1431668848582,62.2332400279682,60.2343157036029,61.1631034691394,28.1261383733461,130.696327289005,107.471024539348,128.654522167222,61.7464054233232,58.5176813075781,47.815776175442
"FEK30_RS10895",1810.7232658164,1755.20909160297,1873.53498196723,1512.97058825127,1795.06566242397,1632.81972354816,1168.05560345558,1119.01165429304,1031.62844148107,1913.02639698612,1870.67421753662,1863.23492715166,1634.96077609236,1427.0355715978,1297.07173953028,1727.0167233824,1708.37764347363,1733.84033649885,1367.72560048933,1344.28840191956,1332.54087985635,1829.52312365402,1686.04069267459,1748.31865252389
"FEK30_RS10900",3568.02882560644,3501.98980821625,3505.35586829522,3655.58514869396,3814.35707075072,3827.11091337216,4246.89781908577,3803.64162089127,3585.48196105865,3013.26873163235,3128.64040067026,3253.88407986088,2841.64310796932,2945.62873517863,2672.75388751695,3806.44914461275,3610.29880614413,3693.59707477072,2436.79862853317,2404.58912446977,2339.11252997296,3310.67455251225,3171.84119462482,3202.78762600597
"FEK30_RS10905",1119.03245701361,1026.15465499477,1102.25639463704,1029.33101540858,981.302562125102,871.039517952269,1109.6528232828,1178.89187659634,1095.81865561767,884.228369784445,891.298718795597,838.546077786976,906.574808923106,1054.49088697713,1084.16854996092,938.576501411364,921.63580569936,982.600253494641,1273.71596156215,1143.75587568412,1222.55126245951,1080.94324555892,1041.4318595208,1044.12267612192
